ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,tax_assessed_value,overpriced,date
7922 Bayberry Dr,Alexandria,VA,22306,749000,547900.0,201100.0,2021-08-30
14861 Leicester Ct,Centreville,VA,20120,417000,329660.0,87340.0,2021-08-30
2042 Headlands Cir,Reston,VA,20191,550000,472750.0,77250.0,2021-08-30
13660 Saint Johns Wood Pl,Herndon,VA,20171,550000,495740.0,54260.0,2021-08-30
3131 Guysborough Dr,Fairfax,VA,22031,634900,588270.0,46630.0,2021-08-30
5239 Ballycastle Cir,Alexandria,VA,22315,635000,556460.0,78540.0,2021-08-30
5813 Shana Pl,Burke,VA,22015,674900,463010.0,211890.0,2021-08-30
3120 Barnard Ct,Fairfax,VA,22031,680000,544800.0,135200.0,2021-08-30
565 Van Buren St,Herndon,VA,20170,649000,537330.0,111670.0,2021-08-30
7934 Bayberry Dr,Alexandria,VA,22306,729900,565340.0,164560.0,2021-08-30
7139 Hamor Ln,Springfield,VA,22153,699900,631920.0,67980.0,2021-08-30
4113 Quiet Crossing Ct,Fairfax,VA,22033,640000,538120.0,101880.0,2021-08-30
1555 Scandia Cir,Reston,VA,20190,560000,454790.0,105210.0,2021-08-30
5805 Oak Ladder Ct,Burke,VA,22015,460000,411610.0,48390.0,2021-08-30
3817 Roxbury Ct,Alexandria,VA,22309,459900,395120.0,64780.0,2021-08-30
3138 Barnard Ct,Fairfax,VA,22031,650000,520880.0,129120.0,2021-08-30
5704 Wigfield Way,Burke,VA,22015,769900,638470.0,131430.0,2021-08-30
7915 Journey Ln,Springfield,VA,22153,639900,509750.0,130150.0,2021-08-30
4941 Sauquoit Ln,Annandale,VA,22003,650000,434250.0,215750.0,2021-08-30
5927 Kirkcaldy Ln,Alexandria,VA,22315,565000,497630.0,67370.0,2021-08-30
8008 Samuel Wallis St,Lorton,VA,22079,618000,500120.0,117880.0,2021-08-30
6308 Wayles St,Springfield,VA,22150,630000,512160.0,117840.0,2021-08-30
3940 Providence Pl,Fairfax,VA,22030,599900,476700.0,123200.0,2021-08-30
10329 Belmont Blvd,Lorton,VA,22079,800000,427550.0,372450.0,2021-08-30
5301 New Church Ct,Fairfax,VA,22032,779000,643670.0,135330.0,2021-08-30
6065 Clerkenwell Ct,Burke,VA,22015,519000,453180.0,65820.0,2021-08-30
4164 Zinnia Ln,Fairfax,VA,22030,580000,503930.0,76070.0,2021-08-30
6609 Bowie Dr,Springfield,VA,22150,584900,432500.0,152400.0,2021-08-30
2816 Shawn Leigh Dr,Vienna,VA,22181,649990,615860.0,34130.0,2021-08-30
10642 John Ayres Dr,Fairfax,VA,22032,687000,558900.0,128100.0,2021-08-30
4340 Birchlake Ct,Alexandria,VA,22309,439900,383200.0,56700.0,2021-08-30
6203 Berlee Dr,Alexandria,VA,22312,795000,701180.0,93820.0,2021-08-30
1137 Moorefield Hill Ct SW,Vienna,VA,22180,749900,665950.0,83950.0,2021-08-30
842 Colvin Ct,Herndon,VA,20170,545000,467550.0,77450.0,2021-08-30
2528 Bull Run Ct,Vienna,VA,22180,775000,704810.0,70190.0,2021-08-30
6217 Hillview Ave,Alexandria,VA,22310,719900,506830.0,213070.0,2021-08-30
5128 Beauregard St,Alexandria,VA,22312,599000,473590.0,125410.0,2021-08-30
7710 Havenbrook Way,Springfield,VA,22153,529000,453370.0,75630.0,2021-08-30
6816 Ericka Ave,Alexandria,VA,22310,520000,480000.0,40000.0,2021-08-30
7405 Calico Ct,Springfield,VA,22153,675000,566690.0,108310.0,2021-08-30
8588 Wyngate Manor Ct,Alexandria,VA,22309,537500,486530.0,50970.0,2021-08-30
2810 Hyson Ln,Falls Church,VA,22043,599000,488400.0,110600.0,2021-08-30
